name,season,age,team_id,pos,g,gs,mp_per_g,fg_pct,fg3_pct,fg2_pct,efg_pct,ft_pct,orb_per_g,drb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,height,weight
Al-Farouq Aminu,2017.0,27.0,POR,PF,69.0,67.0,30.0,0.395,0.369,0.432,0.503,0.738,1.4,6.2,1.2,1.1,0.6,1.1,2.0,9.3,81,220.0
Lou Amundson,2008.0,26.0,PHO,PF,76.0,0.0,13.7,0.536,0.0,0.538,0.536,0.442,1.7,1.9,0.4,0.4,0.9,0.7,2.0,4.2,81,220.0
Lou Amundson,2009.0,27.0,PHO,PF,79.0,0.0,14.8,0.551,0.0,0.553,0.551,0.545,1.6,2.8,0.4,0.3,0.9,0.7,2.1,4.7,81,220.0
Lou Amundson,2010.0,28.0,GSW,PF,46.0,7.0,15.0,0.454,0.0,0.454,0.454,0.391,1.8,2.3,0.4,0.3,0.7,0.5,1.9,4.3,81,220.0
Lou Amundson,2011.0,29.0,IND,PF,60.0,0.0,12.6,0.43,0.0,0.43,0.43,0.427,1.6,2.1,0.2,0.5,0.7,0.8,2.1,3.6,81,220.0
Lou Amundson,2012.0,30.0,MIN,PF,20.0,0.0,8.1,0.368,0.0,0.368,0.368,0.2,1.2,1.2,0.2,0.4,0.3,0.6,1.3,1.6,81,220.0
Lou Amundson,2012.0,30.0,CHI,PF,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,220.0
Lou Amundson,2012.0,30.0,NOH,PF,18.0,0.0,11.6,0.429,0.0,0.429,0.429,0.5,1.3,1.9,0.4,0.5,0.3,0.4,1.5,2.4,81,220.0
Lou Amundson,2013.0,31.0,NOP,PF,18.0,0.0,10.2,0.5,0.0,0.5,0.5,0.25,1.6,1.5,0.3,0.5,0.6,0.8,2.7,2.1,81,220.0
Lou Amundson,2013.0,31.0,CHI,PF,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,220.0
