season,lg_id,team_id,wins,losses,rank_team,avg_age,avg_ht,avg_wt,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,division,conference,finish
2016.0,NBA,TOR,51.0,31.0,2.0,26.1,78.0,222.0,82.0,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60.0,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,Atlantic,E,3.0
2015.0,NBA,TOR,56.0,26.0,1.0,26.3,78.0,222.0,82.0,241.2,36.7,81.3,0.451,8.6,23.4,0.37,28.0,58.0,0.483,20.8,26.7,0.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7,Atlantic,E,2.0
2014.0,NBA,TOR,49.0,33.0,1.0,26.1,78.0,213.0,82.0,242.1,37.9,83.3,0.455,8.9,25.1,0.352,29.0,58.2,0.499,19.3,24.6,0.787,10.7,30.8,41.5,20.7,7.5,4.4,12.9,20.9,104.0,Atlantic,E,4.0
2013.0,NBA,TOR,48.0,34.0,1.0,25.6,78.0,211.0,82.0,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,Atlantic,E,4.0
2012.0,NBA,TOR,34.0,48.0,5.0,25.4,78.0,213.0,82.0,243.7,36.3,81.5,0.446,7.0,20.3,0.343,29.4,61.2,0.48,17.6,22.3,0.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,Atlantic,E,10.0
2017.0,NBA,UTA,48.0,34.0,3.0,26.7,79.0,224.0,82.0,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,Northwest,W,6.0
2016.0,NBA,UTA,51.0,31.0,1.0,26.8,79.0,225.0,82.0,240.9,37.0,79.5,0.466,9.6,26.0,0.372,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7,Northwest,W,5.0
2015.0,NBA,UTA,40.0,42.0,3.0,24.2,79.0,222.0,82.0,243.4,36.1,80.4,0.449,8.5,23.9,0.355,27.6,56.5,0.488,17.1,23.0,0.744,10.7,32.5,43.2,19.0,7.7,5.2,14.9,20.2,97.7,Northwest,W,9.0
2014.0,NBA,UTA,38.0,44.0,3.0,23.4,79.0,216.0,82.0,240.3,35.4,79.2,0.447,7.4,21.7,0.343,27.9,57.5,0.486,17.0,23.5,0.721,12.0,31.9,44.0,19.9,7.6,6.0,15.3,19.3,95.1,Northwest,W,11.0
2013.0,NBA,UTA,25.0,57.0,5.0,24.5,78.0,215.0,82.0,241.2,36.0,81.1,0.444,6.6,19.2,0.344,29.4,61.9,0.474,16.4,22.0,0.747,11.0,30.2,41.2,20.3,7.0,4.5,14.6,20.7,95.0,Northwest,W,15.0
